Action,label,name,type,fieldType,groupName,description,options,Status - Test,Status - Prod
POST,PD-Org ID,pd_org_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Label,pd_org_label,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Gaming;Dating;Firearms;REACTIVATING,,
POST,PD-Org People,pd_org_people,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Open deals,pd_org_open_deals,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Org created,pd_org_organization_created,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Update time,pd_org_update_time,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Visible to,pd_org_visible_to,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Next activity date,pd_org_next_activity_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Last activity date,pd_org_last_activity_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Won deals,pd_org_won_deals,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Lost deals,pd_org_lost_deals,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Closed deals,pd_org_closed_deals,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Total activities,pd_org_total_activities,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Done activities,pd_org_done_activities,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Activities to do,pd_org_activities_to_do,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Email messages count,pd_org_email_messages_count,number,number,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Year Founded,pd_org_year_founded,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Role,pd_org_role,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Agent Office;ISV;Merchant;Bank;Other,,
POST,PD-Org LinkedIn profile,pd_org_linkedin_profile,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Qualification Notes - Current Processor,pd_org_qualification_notes_current_processor,string,textarea,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Monthly Processing,pd_org_monthly_processing,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Currency of Monthly Processing,pd_org_currency_of_monthly_processing,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Monthly Application,pd_org_monthly_application,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,0-1;2-5;6-10;11-15;16-30;31-50;60+,,
POST,PD-Org Address,pd_org_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Latitude of Address,pd_org_latitude_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Longitude of Address,pd_org_longitude_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Apartment/suite no of Address,pd_org_apartment_suite_no_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org House number of Address,pd_org_house_number_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Street/road name of Address,pd_org_street_road_name_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org City/town/village/locality of Address,pd_org_city_town_villiage_locality,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org ZIP/Postal code of Address,pd_org_zip_postal_code_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org State/county of Address,pd_org_state_county_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org District/sublocality of Address,pd_org_district_sublocality_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Region of Address,pd_org_region_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Country of Address,pd_org_country_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org Full/combined address of Address,pd_org_full_combined_address_of_address,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Org White Labeling,pd_org_white_labeling,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Yes;No;Future,,
POST,PD-Org Future Opportunity Tracking,pd_org_future_opportunity_tracking,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Adult;Cannabis;Crypto;Fiserv;International;Kratom;US Territories;VPC;Other (free form field),,
POST,PD-Org Annual Revenue,pd_org_annual_revenue,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,0;1 - 10M USD;10 - 100M USD;100 - 1000M USD;1 - 10B USD;10+B USD,,
