Action,label,name,type,fieldType,groupName,description,options,Status - Test,Status - Prod
POST,PD-Activities to do,pd_undone_activities_count,number,number,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Birthday,pd_birthday,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign bounce reason,pd_campaign_bounce_reason,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign bounce type,pd_campaign_bounce_type,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign click date,pd_campaign_click_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign clicked link URL,pd_campaign_clicked_link_URL,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign clicks,pd_campaign_clicks,number,number,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign delivered date,pd_campaign_delivered_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign open date,pd_campaign_open_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign opens,pd_campaign_opens,number,number,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign send date,pd_campaign_send_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign subscription date,pd_subscribed_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign title,pd_campaign_title,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign unsubscribed date,pd_campaign_unsubscribed_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Closed deals,pd_closed_deals_count,number,number,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Date Reseller Agreement Signed,pd_date_reseller_agreement,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Done activities,pd_done_activities_count,number,number,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Double opt-in,pd_doi_status,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Email messages count,pd_email_messages_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-People ID,pd_people_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Instant messenger,pd_im,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Label,pd_label,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Labels,pd_label_ids,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Last activity date,pd_last_activity_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Last campaign send date,pd_last_campaign_send_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Last email received,pd_last_incoming_mail_time,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Last email sent,pd_last_outgoing_mail_time,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-LinkedIn Profile (Personal),pd_linkedin_profile_personal,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Lost deals,pd_lost_deals_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Marketing status,pd_marketing_status,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Name,pd_name,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Next activity date,pd_next_activity_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Notes,pd_notes,string,textarea,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Open deals,pd_open_deals_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Organization,pd_org_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-PEC/RM,pd_pec_rm,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Person created,pd_add_time,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Profile picture,pd_picture_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Reseller Version,pd_reseller_version,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Total activities,pd_activities_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Total clicks of all campaigns,pd_campaign_clicks_total,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Total opens of all campaigns,pd_campaign_opens_total,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Update time,pd_update_time,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Visible to,pd_visible_to,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Won deals,pd_won_deals_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
