Action,label,name,type,fieldtype,groupName,description,options,Status - Test,Status - Prod
POST,PD-RM Transition Date,pd_rm_transition_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Date Lead Created,pd_date_lead_created,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Welcome Call Date,pd_welcome_call_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Reassignment Date,pd_reassignment_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Partner ID,pd_partner_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Dashboard ID,pd_dashboard_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-RM Level (Tier),pd_rm_level_tier,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Campaign Sent,pd_campaign_sent,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Number of Agents,pd_number_of_agents,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Total activities,pd_total_activities,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-ACV,pd_acv,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Deal created date,pd_deal_created_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Archive time,pd_archive_time,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-ARR,pd_arr,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Source channel,pd_source_channel,enumeration,select,Pipedrive Migration,Value in Pipedrive at time of data migration.,Web forms;Campaigns;Conference / Trade Show;LinkedIn,,
POST,PD-Source channel ID,pd_source_channel_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Creator,pd_creator,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Demo Completed,pd_demo_completed,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Company DBA,pd_company_dba,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Done activities,pd_done_activities,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-First Approval Date,pd_first_approval_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Email messages count,pd_email_messages_count,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Expected close date,pd_expected_close_date,date,date,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-ID,pd_id,string,text,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
POST,PD-Archive status,pd_archive_status,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at time of data migration.,,,
