Action,label,name,type,fieldType,groupName,description,options,Status - Test,Status - Prod
POST,PD-Lead ID,pd_lead_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Title,pd_lead_title,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Source,pd_lead_source,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead created,pd_lead_created,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Update time,pd_lead_update_time,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Archive time,pd_lead_archive_time,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Seen,pd_lead_seen,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Yes|true;No|false,,
POST,PD-Lead Currency,pd_lead_currency,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Creator,pd_lead_creator,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Visible to,pd_lead_visible_to,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Source origin,pd_lead_source_origin,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Source origin ID,pd_lead_source_origin_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Source channel,pd_lead_source_channel,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Source channel ID,pd_lead_source_channel_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Archive status,pd_lead_archive_status,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Yes|true;No|false,,
POST,PD-Lead Organization,pd_lead_organization,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Organization ID,pd_lead_organization_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Company DBA,pd_lead_company_dba,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Contact person,pd_lead_contact_person,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Contact person ID,pd_lead_contact_person_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Deal - Lead Source,pd_lead_deal_lead_source,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Value,pd_lead_value,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Number of Agents,pd_lead_number_of_agents,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Risk Level,pd_lead_risk_level,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Expected close date,pd_lead_expected_close_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Labels,pd_lead_labels,enumeration,select,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Hot;Warm;Cold;Website newsletter,,
POST,PD-Lead Demo Completed,pd_lead_demo_completed,bool,booleancheckbox,Pipedrive Migration,Value in Pipedrive at the time of data migration.,Yes|true;No|false,,
POST,PD-Lead RM Transition Date,pd_lead_rm_transition_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead RM Level (Tier),pd_lead_rm_level_tier,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Welcome Call Date,pd_lead_welcome_call_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead First Approval Date,pd_lead_first_approval_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Partner ID,pd_lead_partner_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Dashboard ID,pd_lead_dashboard_id,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Reassignment Date,pd_lead_reassignment_date,date,date,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
POST,PD-Lead Campaign Sent,pd_lead_campaign_sent,string,text,Pipedrive Migration,Value in Pipedrive at the time of data migration.,,,
